date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:01	156458/156458	---M--	200	added ('OK')	image/jpeg	etag:%2262400445-2926e%22	https://templates.hibootstrap.com/pily/default/assets/images/campaign2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/campaign2.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:01	102962/102962	---M--	200	added ('OK')	image/jpeg	etag:%2262400446-1b0c4%22	https://templates.hibootstrap.com/pily/default/assets/images/campaign4.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/campaign4.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:01	146816/146816	---M--	200	added ('OK')	image/jpeg	etag:%2262400445-23d80%22	https://templates.hibootstrap.com/pily/default/assets/images/campaign3.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/campaign3.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:01	137514/137514	---M--	200	added ('OK')	image/jpeg	etag:%2262400467-23b3e%22	https://templates.hibootstrap.com/pily/default/assets/images/ideology/ideology4.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/ideology/ideology4.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:02	121716/121716	---M--	200	added ('OK')	image/jpeg	etag:%2262400467-1f298%22	https://templates.hibootstrap.com/pily/default/assets/images/ideology/ideology5.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/ideology/ideology5.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:02	92474/92474	---M--	200	added ('OK')	image/jpeg	etag:%226240046b-189f7%22	https://templates.hibootstrap.com/pily/default/assets/images/team/team1.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/team/team1.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:02	112388/112388	---M--	200	added ('OK')	image/jpeg	etag:%2262400467-1b704%22	https://templates.hibootstrap.com/pily/default/assets/images/ideology/ideology6.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/ideology/ideology6.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:03	88977/88977	---M--	200	added ('OK')	image/jpeg	etag:%226240046b-173a2%22	https://templates.hibootstrap.com/pily/default/assets/images/team/team2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/team/team2.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:03	73831/73831	---M--	200	added ('OK')	image/jpeg	etag:%226240046b-13752%22	https://templates.hibootstrap.com/pily/default/assets/images/team/team3.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/team/team3.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:03	82508/82508	---M--	200	added ('OK')	image/jpeg	etag:%226240046b-15f75%22	https://templates.hibootstrap.com/pily/default/assets/images/team/team4.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/team/team4.jpg	(from https://templates.hibootstrap.com/pily/default/index-3.html)
18:23:04	95357/95357	---M--	200	added ('OK')	image/jpeg	etag:%226240046a-17d49%22	https://templates.hibootstrap.com/pily/default/assets/images/page-title/title-shape.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/page-title/title-shape.jpg	(from https://templates.hibootstrap.com/pily/default/missions.html)
18:23:04	126315/126315	---M--	200	added ('OK')	image/jpeg	etag:%2262400469-1ed6b%22	https://templates.hibootstrap.com/pily/default/assets/images/mission/mission4.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/mission/mission4.jpg	(from https://templates.hibootstrap.com/pily/default/missions.html)
18:23:05	155640/155640	---M--	200	added ('OK')	image/jpeg	etag:%2262400469-25ff8%22	https://templates.hibootstrap.com/pily/default/assets/images/mission/mission5.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/mission/mission5.jpg	(from https://templates.hibootstrap.com/pily/default/missions.html)
18:23:05	145851/145851	---M--	200	added ('OK')	image/jpeg	etag:%2262400469-239bb%22	https://templates.hibootstrap.com/pily/default/assets/images/mission/mission6.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/mission/mission6.jpg	(from https://templates.hibootstrap.com/pily/default/missions.html)
18:23:05	139120/139120	---M--	200	added ('OK')	image/jpeg	etag:%2262400468-23d29%22	https://templates.hibootstrap.com/pily/default/assets/images/mission/mission-details1.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/mission/mission-details1.jpg	(from https://templates.hibootstrap.com/pily/default/mission-details.html)
